cluster,4_movements,counter
0,"[49, 71, 59, 59]",0.00019312475859405175
0,"[49, 71, 62, 202]",0.00019312475859405175
0,"[49, 49, 71, 62]",0.00019312475859405175
0,"[49, 201, 62, 54]",0.00019312475859405175
0,"[49, 63, 54, 42]",0.00019312475859405175
0,"[49, 71, 62, 59]",0.00019312475859405175
0,"[49, 52, 75, 58]",0.00019312475859405175
0,"[49, 52, 62, 42]",0.00019312475859405175
0,"[49, 61, 201, 63]",0.00019312475859405175
0,"[49, 75, 62, 54]",0.00019312475859405175
0,"[71, 42, 202, 59]",0.00019312475859405175
0,"[49, 201, 63, 42]",0.00019312475859405175
0,"[49, 71, 63, 202]",0.00019312475859405175
0,"[71, 58, 63, 42]",0.00019312475859405175
0,"[49, 71, 58, 202]",0.00019312475859405175
0,"[49, 61, 54, 54]",0.00019312475859405175
0,"[61, 71, 75, 54]",0.00019312475859405175
0,"[71, 52, 76, 63]",0.00019312475859405175
0,"[71, 201, 62, 62]",0.00019312475859405175
0,"[61, 58, 62, 54]",0.00019312475859405175
0,"[49, 71, 201, 59]",0.00012874983906270118
0,"[61, 71, 63, 202]",0.00012874983906270118
0,"[61, 63, 42, 59]",0.00012874983906270118
0,"[71, 63, 202, 59]",0.00012874983906270118
0,"[75, 54, 42, 202]",0.00012874983906270118
0,"[49, 75, 202, 59]",0.00012874983906270118
0,"[49, 61, 76, 202]",0.00012874983906270118
0,"[49, 58, 62, 59]",0.00012874983906270118
0,"[49, 61, 42, 42]",0.00012874983906270118
0,"[61, 71, 76, 58]",0.00012874983906270118
0,"[76, 63, 54, 42]",0.00012874983906270118
0,"[71, 76, 58, 42]",0.00012874983906270118
0,"[61, 58, 42, 59]",0.00012874983906270118
0,"[61, 62, 63, 202]",0.00012874983906270118
0,"[61, 71, 76, 42]",0.00012874983906270118
0,"[49, 76, 42, 59]",0.00012874983906270118
0,"[49, 42, 202, 59]",0.00012874983906270118
0,"[49, 71, 76, 202]",0.00012874983906270118
0,"[71, 76, 42, 59]",0.00012874983906270118
0,"[61, 62, 42, 59]",0.00012874983906270118
0,"[52, 75, 42, 59]",0.00012874983906270118
0,"[71, 52, 76, 201]",0.00012874983906270118
0,"[71, 76, 201, 62]",0.00012874983906270118
0,"[61, 76, 62, 54]",0.00012874983906270118
0,"[61, 71, 201, 202]",0.00012874983906270118
0,"[61, 52, 62, 42]",0.00012874983906270118
0,"[71, 54, 42, 59]",0.00012874983906270118
0,"[49, 49, 49, 71]",0.00012874983906270118
0,"[49, 62, 63, 59]",0.00012874983906270118
0,"[61, 52, 76, 42]",0.00012874983906270118
0,"[49, 49, 75, 42]",0.00012874983906270118
0,"[49, 75, 76, 62]",0.00012874983906270118
0,"[49, 58, 63, 54]",0.00012874983906270118
0,"[62, 54, 42, 59]",0.00012874983906270118
0,"[49, 201, 63, 59]",0.00012874983906270118
0,"[61, 58, 54, 59]",0.00012874983906270118
0,"[61, 52, 75, 201]",0.00012874983906270118
0,"[61, 52, 62, 63]",0.00012874983906270118
0,"[49, 58, 62, 63]",0.00012874983906270118
0,"[71, 52, 62, 59]",0.00012874983906270118
0,"[61, 71, 76, 76]",0.00012874983906270118
0,"[49, 52, 201, 62]",0.00012874983906270118
0,"[71, 63, 42, 59]",0.00012874983906270118
0,"[49, 49, 61, 201]",0.00012874983906270118
0,"[49, 75, 63, 59]",0.00012874983906270118
0,"[61, 63, 54, 59]",0.00012874983906270118
0,"[52, 63, 54, 59]",0.00012874983906270118
